time,gFx,gFy,gFz,TgF
0.001704,0.9905,-0.0399,0.1152,0.998
0.001999,0.9934,-0.0389,0.1152,1.001
0.002187,0.9930,-0.0399,0.1157,1.000
0.002358,0.9944,-0.0379,0.1162,1.002
0.002447,0.9939,-0.0394,0.1157,1.001
0.003915,0.9930,-0.0389,0.1162,1.000
0.006536,0.9934,-0.0360,0.1157,1.001
0.009291,0.9930,-0.0374,0.1152,1.000
0.012275,0.9930,-0.0379,0.1148,1.000
0.013695,0.9944,-0.0394,0.1128,1.002
0.016296,0.9954,-0.0408,0.1114,1.002
0.018716,0.9959,-0.0408,0.1099,1.003
0.021453,0.9954,-0.0399,0.1109,1.002
0.022912,0.9939,-0.0399,0.1118,1.001
0.025380,0.9934,-0.0413,0.1133,1.001
0.028878,0.9920,-0.0384,0.1148,0.999
0.030660,0.9881,-0.0399,0.1182,0.996
0.033041,0.9871,-0.0398,0.1196,0.995
0.035369,0.9856,-0.0383,0.1240,0.994
0.037521,0.9831,-0.0378,0.1274,0.992
0.040560,0.9812,-0.0378,0.1303,0.991
0.042305,0.9807,-0.0393,0.1333,0.990
0.045043,0.9797,-0.0402,0.1362,0.990
0.047462,0.9748,-0.0392,0.1386,0.985
0.049531,0.9733,-0.0392,0.1415,0.984
0.052556,0.9714,-0.0358,0.1424,0.982
0.054105,0.9723,-0.0383,0.1449,0.984
0.057171,0.9709,-0.0378,0.1503,0.983
0.059063,0.9718,-0.0377,0.1527,0.984
0.062207,0.9742,-0.0363,0.1522,0.987
0.063811,0.9762,-0.0358,0.1533,0.989
0.066724,0.9791,-0.0363,0.1523,0.992
0.068668,0.9815,-0.0333,0.1528,0.994
0.071757,0.9830,-0.0353,0.1503,0.995
0.072922,0.9840,-0.0358,0.1513,0.996
0.085374,0.9874,-0.0344,0.1459,0.999
0.085916,0.9879,-0.0344,0.1464,0.999
0.086066,0.9889,-0.0319,0.1440,1.000
0.086192,0.9884,-0.0319,0.1440,0.999
0.086287,0.9884,-0.0305,0.1430,0.999
0.087644,0.9864,-0.0295,0.1434,0.997
0.090655,0.9859,-0.0290,0.1444,0.997
0.092571,0.9840,-0.0271,0.1430,0.995
0.095484,0.9855,-0.0290,0.1444,0.996
0.097441,0.9845,-0.0300,0.1454,0.996
0.099587,0.9820,-0.0290,0.1454,0.993
0.102288,0.9796,-0.0290,0.1453,0.991
0.104914,0.9782,-0.0309,0.1439,0.989
0.107364,0.9772,-0.0305,0.1449,0.988
0.108874,0.9762,-0.0314,0.1444,0.987
0.112482,0.9762,-0.0300,0.1449,0.987
0.113753,0.9767,-0.0309,0.1444,0.988
0.116755,0.9806,-0.0314,0.1449,0.992
0.118479,0.9820,-0.0314,0.1454,0.993
0.121596,0.9825,-0.0334,0.1439,0.994
0.124101,0.9869,-0.0319,0.1434,0.998
0.125529,0.9894,-0.0300,0.1425,1.000
0.128889,0.9923,-0.0305,0.1425,1.003
0.130274,0.9952,-0.0295,0.1406,1.006
0.133579,0.9952,-0.0309,0.1411,1.006
0.135029,0.9977,-0.0290,0.1406,1.008
0.138141,0.9981,-0.0290,0.1420,1.009
0.139651,0.9986,-0.0285,0.1450,1.009
0.142197,0.9991,-0.0275,0.1445,1.010
0.145605,1.0000,-0.0290,0.1479,1.011
0.147140,0.9995,-0.0294,0.1519,1.011
0.149924,0.9975,-0.0280,0.1524,1.009
0.152879,0.9975,-0.0265,0.1543,1.010
0.154095,0.9966,-0.0284,0.1572,1.009
0.157181,0.9966,-0.0294,0.1572,1.009
0.159229,0.9951,-0.0284,0.1587,1.008
0.162212,0.9941,-0.0284,0.1591,1.007
0.163761,0.9931,-0.0304,0.1602,1.006
0.166985,0.9927,-0.0299,0.1611,1.006
0.168261,0.9917,-0.0289,0.1650,1.006
0.171679,0.9912,-0.0284,0.1660,1.005
0.173227,0.9926,-0.0294,0.1689,1.007
0.188745,0.9921,-0.0298,0.1713,1.007
0.189077,0.9926,-0.0289,0.1733,1.008
0.189172,0.9916,-0.0289,0.1748,1.007
0.189254,0.9920,-0.0284,0.1772,1.008
0.189336,0.9902,-0.0274,0.1772,1.006
0.189429,0.9886,-0.0288,0.1811,1.005
0.189904,0.9881,-0.0274,0.1801,1.005
0.193645,0.9872,-0.0269,0.1801,1.004
0.194648,0.9872,-0.0250,0.1806,1.004
0.197007,0.9876,-0.0269,0.1810,1.004
0.200665,0.9857,-0.0255,0.1820,1.003
0.203072,0.9847,-0.0250,0.1815,1.002
0.204553,0.9852,-0.0240,0.1810,1.002
0.208000,0.9847,-0.0240,0.1815,1.002
0.209405,0.9843,-0.0230,0.1796,1.001
0.213125,0.9833,-0.0230,0.1776,0.999
0.213784,0.9823,-0.0250,0.1762,0.998
0.217147,0.9823,-0.0231,0.1727,0.998
0.219908,0.9819,-0.0226,0.1727,0.997
0.220743,0.9838,-0.0211,0.1698,0.999
0.224530,0.9839,-0.0211,0.1669,0.998
0.226162,0.9868,-0.0206,0.1620,1.000
0.228855,0.9883,-0.0226,0.1581,1.001
0.231235,0.9897,-0.0222,0.1557,1.002
0.232622,0.9893,-0.0217,0.1513,1.001
0.235729,0.9913,-0.0217,0.1498,1.003
0.238487,0.9922,-0.0222,0.1474,1.003
0.239726,0.9917,-0.0212,0.1434,1.002
0.242258,0.9917,-0.0232,0.1430,1.002
0.245651,0.9932,-0.0227,0.1420,1.004
0.247154,0.9927,-0.0222,0.1430,1.003
0.249637,0.9952,-0.0222,0.1444,1.006
0.252359,0.9952,-0.0222,0.1425,1.006
0.255049,0.9966,-0.0226,0.1449,1.007
0.256475,0.9981,-0.0217,0.1459,1.009
0.259728,0.9966,-0.0226,0.1469,1.008
0.262352,0.9971,-0.0226,0.1483,1.008
0.263663,0.9996,-0.0222,0.1469,1.011
0.266452,0.9990,-0.0222,0.1493,1.010
0.268907,1.0010,-0.0231,0.1489,1.012
0.271499,1.0014,-0.0231,0.1489,1.013
0.274008,1.0000,-0.0217,0.1523,1.012
0.286420,0.9985,-0.0207,0.1518,1.010
0.286746,0.9980,-0.0217,0.1503,1.010
0.286844,0.9971,-0.0217,0.1543,1.009
0.286936,0.9956,-0.0217,0.1562,1.008
0.287032,0.9951,-0.0217,0.1562,1.008
0.287936,0.9917,-0.0226,0.1582,1.004
0.290899,0.9912,-0.0250,0.1611,1.005
0.292346,0.9902,-0.0245,0.1650,1.004
0.296078,0.9907,-0.0265,0.1660,1.005
0.301346,0.9911,-0.0250,0.1689,1.006
0.301561,0.9902,-0.0260,0.1684,1.005
0.302420,0.9883,-0.0265,0.1674,1.003
0.304870,0.9883,-0.0270,0.1669,1.003
0.307374,0.9868,-0.0265,0.1669,1.001
0.309408,0.9853,-0.0260,0.1659,1.000
0.312195,0.9858,-0.0241,0.1630,0.999
0.313731,0.9848,-0.0250,0.1625,0.998
0.316968,0.9858,-0.0236,0.1625,0.999
0.318463,0.9892,-0.0245,0.1596,1.002
0.321987,0.9917,-0.0241,0.1606,1.005
0.322949,0.9941,-0.0226,0.1606,1.007
0.326605,0.9975,-0.0226,0.1557,1.010
0.328073,1.0014,-0.0231,0.1553,1.014
0.331040,1.0024,-0.0222,0.1533,1.014
0.333614,1.0049,-0.0222,0.1484,1.016
0.335795,1.0058,-0.0231,0.1464,1.017
0.338345,1.0054,-0.0231,0.1445,1.016
0.339735,1.0044,-0.0222,0.1450,1.015
0.342281,1.0020,-0.0222,0.1430,1.012
0.345726,1.0015,-0.0232,0.1411,1.012
0.347004,0.9981,-0.0237,0.1401,1.008
0.349975,0.9957,-0.0251,0.1367,1.005
0.353475,0.9957,-0.0232,0.1366,1.005
0.353970,0.9923,-0.0242,0.1366,1.002
0.357194,0.9908,-0.0251,0.1395,1.001
0.360549,0.9913,-0.0256,0.1395,1.001
0.361675,0.9913,-0.0266,0.1400,1.002
0.363851,0.9918,-0.0261,0.1405,1.002
0.366564,0.9923,-0.0295,0.1430,1.003
0.369872,0.9928,-0.0280,0.1435,1.003
0.370722,0.9933,-0.0285,0.1430,1.004
0.374162,0.9932,-0.0295,0.1450,1.004
0.385044,0.9947,-0.0295,0.1450,1.006
0.385504,0.9947,-0.0285,0.1445,1.006
0.385656,0.9956,-0.0285,0.1455,1.007
0.385768,0.9937,-0.0300,0.1450,1.005
0.385887,0.9938,-0.0305,0.1425,1.004
0.388808,0.9908,-0.0324,0.1445,1.002
0.389848,0.9908,-0.0309,0.1440,1.002
0.394082,0.9864,-0.0324,0.1444,0.997
0.394754,0.9835,-0.0329,0.1454,0.995
0.397441,0.9806,-0.0329,0.1444,0.992
0.399831,0.9811,-0.0329,0.1454,0.992
0.402303,0.9796,-0.0334,0.1449,0.991
0.405236,0.9806,-0.0349,0.1439,0.992
0.407332,0.9792,-0.0344,0.1439,0.990
0.408810,0.9782,-0.0363,0.1430,0.989
0.411944,0.9767,-0.0349,0.1405,0.987
0.413745,0.9767,-0.0344,0.1400,0.987
0.417052,0.9753,-0.0349,0.1400,0.986
0.418409,0.9772,-0.0349,0.1405,0.988
0.421996,0.9777,-0.0358,0.1410,0.988
0.423450,0.9797,-0.0344,0.1430,0.991
0.426682,0.9816,-0.0363,0.1430,0.993
0.428226,0.9850,-0.0373,0.1450,0.996
0.430596,0.9879,-0.0373,0.1445,0.999
0.433179,0.9908,-0.0373,0.1440,1.002
0.436399,0.9928,-0.0373,0.1440,1.004
0.437369,0.9952,-0.0363,0.1431,1.006
0.440793,0.9972,-0.0349,0.1431,1.008
0.442801,0.9977,-0.0349,0.1402,1.008
0.445801,0.9986,-0.0344,0.1426,1.009
0.447082,0.9991,-0.0353,0.1406,1.010
0.450118,0.9981,-0.0353,0.1392,1.008
0.453081,0.9986,-0.0363,0.1362,1.009
0.454046,0.9986,-0.0363,0.1353,1.008
0.457339,0.9958,-0.0358,0.1348,1.005
0.459542,0.9923,-0.0364,0.1318,1.002
0.462492,0.9928,-0.0369,0.1318,1.002
0.463780,0.9914,-0.0364,0.1294,1.000
0.466455,0.9900,-0.0383,0.1284,0.999
0.469780,0.9895,-0.0398,0.1275,0.998
0.470868,0.9890,-0.0408,0.1275,0.998
0.473931,0.9900,-0.0413,0.1270,0.999
0.487872,0.9895,-0.0398,0.1275,0.998
0.488406,0.9905,-0.0418,0.1279,1.000
0.488520,0.9885,-0.0427,0.1309,0.998
0.488619,0.9884,-0.0432,0.1333,0.998
0.488711,0.9880,-0.0427,0.1353,0.998
0.488794,0.9875,-0.0422,0.1377,0.998
0.489928,0.9860,-0.0432,0.1401,0.997
0.492561,0.9865,-0.0446,0.1411,0.998
0.495882,0.9845,-0.0427,0.1435,0.996
0.497657,0.9845,-0.0431,0.1445,0.996
0.499739,0.9826,-0.0450,0.1440,0.994
0.502437,0.9826,-0.0446,0.1440,0.994
0.505275,0.9826,-0.0446,0.1420,0.994
0.506898,0.9816,-0.0446,0.1411,0.993
0.509810,0.9806,-0.0441,0.1411,0.992
0.511593,0.9787,-0.0441,0.1391,0.989
0.514512,0.9807,-0.0456,0.1367,0.991
0.516331,0.9787,-0.0451,0.1367,0.989
0.519969,0.9787,-0.0456,0.1362,0.989
0.520861,0.9802,-0.0446,0.1352,0.990
0.524641,0.9797,-0.0441,0.1342,0.990
0.525885,0.9802,-0.0436,0.1318,0.990
0.529170,0.9812,-0.0436,0.1328,0.991
0.530601,0.9836,-0.0461,0.1318,0.993
0.533954,0.9846,-0.0436,0.1309,0.994
0.536269,0.9870,-0.0441,0.1304,0.997
0.537740,0.9890,-0.0412,0.1309,0.998
0.540720,0.9904,-0.0397,0.1318,1.000
0.542707,0.9914,-0.0403,0.1289,1.001
0.546084,0.9909,-0.0388,0.1270,1.000
0.547329,0.9914,-0.0383,0.1275,1.000
0.550388,0.9919,-0.0403,0.1235,1.000
0.552287,0.9900,-0.0393,0.1231,0.998
0.555716,0.9890,-0.0418,0.1221,0.997
0.556712,0.9881,-0.0422,0.1201,0.996
0.560630,0.9866,-0.0408,0.1196,0.995
0.561627,0.9871,-0.0422,0.1192,0.995
0.564611,0.9856,-0.0398,0.1196,0.994
0.567918,0.9837,-0.0413,0.1191,0.992
0.568937,0.9847,-0.0408,0.1182,0.993
0.572531,0.9851,-0.0422,0.1196,0.993
0.587847,0.9856,-0.0422,0.1206,0.994
0.588410,0.9856,-0.0408,0.1211,0.994
0.588519,0.9871,-0.0413,0.1216,0.995
0.588626,0.9880,-0.0427,0.1245,0.997
0.588721,0.9861,-0.0413,0.1284,0.995
0.588806,0.9866,-0.0403,0.1293,0.996
0.588899,0.9870,-0.0407,0.1328,0.997
0.591053,0.9889,-0.0397,0.1372,0.999
0.593193,0.9884,-0.0402,0.1420,0.999
0.595226,0.9874,-0.0392,0.1450,0.999
0.597154,0.9889,-0.0402,0.1489,1.001
0.599991,0.9879,-0.0407,0.1499,1.000
0.602231,0.9884,-0.0416,0.1528,1.001
0.605856,0.9893,-0.0407,0.1524,1.002
0.607404,0.9888,-0.0392,0.1524,1.001
0.610546,0.9908,-0.0402,0.1538,1.003
0.611830,0.9922,-0.0382,0.1538,1.005
0.615167,0.9927,-0.0377,0.1533,1.005
0.616405,0.9947,-0.0367,0.1533,1.007
0.620337,0.9966,-0.0343,0.1533,1.009
0.621132,0.9986,-0.0343,0.1510,1.011
0.623700,0.9976,-0.0348,0.1514,1.010
0.626038,0.9986,-0.0333,0.1504,1.010
0.628234,0.9981,-0.0358,0.1510,1.010
0.631500,0.9991,-0.0353,0.1505,1.011
0.632927,0.9981,-0.0348,0.1489,1.010
0.636641,0.9981,-0.0358,0.1489,1.010
0.637659,0.9996,-0.0358,0.1475,1.011
0.640839,0.9991,-0.0363,0.1465,1.010
0.643085,0.9986,-0.0367,0.1485,1.010
0.646598,0.9991,-0.0382,0.1485,1.011
0.647965,0.9981,-0.0372,0.1465,1.009
0.650568,0.9981,-0.0367,0.1460,1.009
0.652187,0.9967,-0.0349,0.1445,1.008
0.655813,0.9957,-0.0363,0.1436,1.007
0.656834,0.9938,-0.0368,0.1421,1.005
0.661703,0.9933,-0.0353,0.1391,1.004
0.662006,0.9933,-0.0339,0.1401,1.004
0.663974,0.9933,-0.0349,0.1367,1.003
0.667731,0.9919,-0.0344,0.1357,1.002
0.668753,0.9938,-0.0353,0.1348,1.004
0.672996,0.9923,-0.0335,0.1313,1.002
0.673288,0.9919,-0.0330,0.1293,1.001
0.688689,0.9928,-0.0339,0.1279,1.002
0.689257,0.9914,-0.0344,0.1269,1.000
0.689372,0.9919,-0.0320,0.1264,1.000
0.689483,0.9919,-0.0335,0.1259,1.000
0.689565,0.9914,-0.0316,0.1250,1.000
0.689642,0.9904,-0.0325,0.1274,0.999
0.690310,0.9914,-0.0325,0.1289,1.000
0.692590,0.9899,-0.0330,0.1313,0.999
0.696154,0.9889,-0.0335,0.1333,0.998
0.698967,0.9875,-0.0353,0.1376,0.998
0.699950,0.9840,-0.0368,0.1425,0.995
0.702432,0.9831,-0.0363,0.1430,0.994
0.705572,0.9811,-0.0334,0.1464,0.992
0.707470,0.9791,-0.0339,0.1513,0.991
0.709054,0.9791,-0.0353,0.1518,0.991
0.713186,0.9771,-0.0353,0.1586,0.991
0.714076,0.9757,-0.0372,0.1596,0.989
0.717064,0.9766,-0.0382,0.1616,0.991
0.720257,0.9756,-0.0363,0.1615,0.990
0.721101,0.9751,-0.0372,0.1635,0.989
0.724241,0.9761,-0.0377,0.1645,0.991
0.727345,0.9790,-0.0367,0.1645,0.993
0.728158,0.9810,-0.0353,0.1640,0.995
0.730606,0.9834,-0.0352,0.1635,0.998
0.734130,0.9844,-0.0353,0.1596,0.998
0.735586,0.9849,-0.0343,0.1586,0.998
0.738897,0.9888,-0.0319,0.1562,1.002
0.740970,0.9922,-0.0319,0.1524,1.004
0.742475,0.9917,-0.0324,0.1489,1.003
0.746178,0.9932,-0.0314,0.1459,1.004
0.747378,0.9952,-0.0305,0.1420,1.006
0.750404,0.9972,-0.0286,0.1367,1.007
0.753067,0.9996,-0.0286,0.1333,1.009
0.754329,1.0011,-0.0291,0.1323,1.010
0.757787,1.0016,-0.0300,0.1284,1.010
0.759519,1.0031,-0.0295,0.1275,1.012
0.762631,1.0036,-0.0300,0.1265,1.012
0.764097,1.0041,-0.0295,0.1260,1.012
0.767705,1.0026,-0.0310,0.1270,1.011
0.768950,1.0016,-0.0310,0.1294,1.010
0.772028,1.0002,-0.0300,0.1299,1.009
0.774390,0.9986,-0.0305,0.1314,1.008
0.775812,1.0006,-0.0325,0.1318,1.010
0.779986,1.0011,-0.0315,0.1343,1.011
0.780761,1.0040,-0.0325,0.1333,1.013
0.784234,1.0021,-0.0334,0.1343,1.012
0.785787,1.0016,-0.0334,0.1362,1.011
0.788878,1.0016,-0.0358,0.1367,1.011
0.795258,0.9996,-0.0353,0.1377,1.010
0.795841,0.9996,-0.0349,0.1382,1.010
0.796004,0.9986,-0.0324,0.1397,1.009
0.797402,0.9972,-0.0334,0.1411,1.008
0.800614,0.9957,-0.0319,0.1435,1.007
0.802036,0.9947,-0.0324,0.1455,1.006
0.804445,0.9942,-0.0338,0.1489,1.006
0.807125,0.9922,-0.0328,0.1543,1.005
0.810235,0.9898,-0.0324,0.1567,1.003
0.811654,0.9902,-0.0333,0.1602,1.004
0.814176,0.9883,-0.0338,0.1616,1.002
0.817687,0.9863,-0.0352,0.1655,1.001
0.818849,0.9858,-0.0352,0.1635,1.000
0.822513,0.9825,-0.0362,0.1655,0.997
0.823994,0.9829,-0.0357,0.1660,0.997
0.825842,0.9814,-0.0352,0.1669,0.996
0.829855,0.9780,-0.0338,0.1679,0.993
0.830769,0.9766,-0.0342,0.1684,0.992
0.834367,0.9765,-0.0333,0.1684,0.992
0.835560,0.9761,-0.0338,0.1688,0.991
0.838746,0.9766,-0.0324,0.1654,0.991
0.840502,0.9786,-0.0324,0.1644,0.993
0.843506,0.9814,-0.0319,0.1644,0.996
0.846431,0.9834,-0.0319,0.1645,0.998
0.847424,0.9829,-0.0304,0.1586,0.996
0.850824,0.9849,-0.0299,0.1557,0.998
0.852209,0.9883,-0.0295,0.1528,1.000
0.855349,0.9878,-0.0285,0.1503,1.000
0.857704,0.9918,-0.0285,0.1454,1.003
0.859298,0.9913,-0.0275,0.1420,1.002
0.862796,0.9942,-0.0280,0.1406,1.005
0.864200,0.9957,-0.0266,0.1396,1.006
0.867319,0.9981,-0.0247,0.1391,1.008
0.868902,0.9991,-0.0261,0.1391,1.009
0.872842,1.0025,-0.0242,0.1376,1.012
0.878840,1.0059,-0.0242,0.1381,1.016
0.879360,1.0093,-0.0222,0.1372,1.019
0.879479,1.0132,-0.0222,0.1372,1.023
0.880997,1.0142,-0.0217,0.1382,1.024
0.883260,1.0171,-0.0212,0.1367,1.027
0.885453,1.0196,-0.0208,0.1353,1.029
0.888552,1.0215,-0.0183,0.1367,1.031
0.890192,1.0205,-0.0164,0.1353,1.030
0.893394,1.0195,-0.0154,0.1348,1.028
0.895175,1.0200,-0.0149,0.1353,1.029
0.897661,1.0166,-0.0164,0.1358,1.026
0.901234,1.0146,-0.0173,0.1377,1.024
0.902320,1.0108,-0.0178,0.1362,1.020
0.906132,1.0083,-0.0183,0.1376,1.018
0.908069,1.0064,-0.0164,0.1401,1.016
0.909722,1.0025,-0.0178,0.1425,1.013
0.913838,1.0000,-0.0188,0.1454,1.011
0.914147,0.9961,-0.0202,0.1493,1.007
0.917450,0.9952,-0.0207,0.1508,1.007
0.919716,0.9927,-0.0202,0.1533,1.005
0.922504,0.9912,-0.0217,0.1571,1.004
0.924164,0.9897,-0.0226,0.1596,1.003
0.926463,0.9873,-0.0216,0.1615,1.001
0.929378,0.9883,-0.0221,0.1644,1.002
0.931160,0.9892,-0.0221,0.1654,1.003
0.934017,0.9887,-0.0226,0.1664,1.003
0.935708,0.9906,-0.0216,0.1679,1.005
0.938914,0.9917,-0.0226,0.1644,1.005
0.940552,0.9897,-0.0226,0.1630,1.003
0.943604,0.9907,-0.0226,0.1586,1.004
0.945341,0.9883,-0.0256,0.1547,1.001
0.947526,0.9888,-0.0251,0.1538,1.001
0.950437,0.9873,-0.0256,0.1518,0.999
0.952889,0.9854,-0.0266,0.1523,0.997
0.954380,0.9849,-0.0261,0.1513,0.997
0.957681,0.9844,-0.0285,0.1533,0.997
0.960633,0.9854,-0.0270,0.1513,0.997
0.962187,0.9859,-0.0280,0.1528,0.998
0.965253,0.9859,-0.0275,0.1528,0.998
0.966515,0.9859,-0.0295,0.1518,0.998
0.969044,0.9835,-0.0309,0.1518,0.996
0.972355,0.9850,-0.0305,0.1498,0.997
0.978715,0.9850,-0.0305,0.1483,0.997
0.979183,0.9835,-0.0305,0.1469,0.995
0.979331,0.9835,-0.0309,0.1449,0.995
0.983678,0.9815,-0.0305,0.1434,0.992
0.983841,0.9806,-0.0295,0.1395,0.991
0.985275,0.9821,-0.0320,0.1371,0.992
0.988346,0.9811,-0.0315,0.1347,0.991
0.990246,0.9797,-0.0320,0.1361,0.990
0.994180,0.9812,-0.0325,0.1317,0.991
0.995120,0.9778,-0.0339,0.1303,0.987
0.997543,0.9763,-0.0349,0.1293,0.985
1.001668,0.9758,-0.0349,0.1298,0.985
1.002282,0.9743,-0.0335,0.1312,0.984
1.006199,0.9719,-0.0330,0.1317,0.981
1.008133,0.9714,-0.0349,0.1317,0.981
1.009597,0.9675,-0.0354,0.1336,0.977
1.013162,0.9656,-0.0344,0.1346,0.975
1.014300,0.9641,-0.0369,0.1365,0.974
1.017828,0.9636,-0.0349,0.1424,0.975
1.019042,0.9645,-0.0358,0.1453,0.976
1.022602,0.9645,-0.0363,0.1463,0.976
1.024338,0.9650,-0.0368,0.1522,0.978
1.025983,0.9684,-0.0392,0.1532,0.981
1.029361,0.9703,-0.0367,0.1571,0.984
1.031540,0.9723,-0.0372,0.1581,0.986
1.033237,0.9732,-0.0372,0.1596,0.987
1.035609,0.9751,-0.0387,0.1626,0.989
1.039317,0.9761,-0.0401,0.1645,0.991
1.040554,0.9781,-0.0406,0.1645,0.993
1.043997,0.9795,-0.0411,0.1665,0.994
1.045119,0.9824,-0.0411,0.1684,0.998
1.048286,0.9844,-0.0416,0.1680,0.999
1.050399,0.9834,-0.0420,0.1719,0.999
1.052203,0.9853,-0.0410,0.1714,1.001
1.055881,0.9868,-0.0439,0.1704,1.002
1.057662,0.9892,-0.0425,0.1704,1.005
1.059660,0.9907,-0.0435,0.1685,1.006
1.063046,0.9931,-0.0454,0.1671,1.008
1.064215,0.9961,-0.0469,0.1637,1.011
1.068541,0.9980,-0.0474,0.1632,1.012
1.068798,1.0005,-0.0479,0.1608,1.014
1.072772,1.0010,-0.0474,0.1579,1.014
1.074496,1.0030,-0.0479,0.1530,1.016
1.076313,1.0025,-0.0469,0.1535,1.015
1.078921,1.0025,-0.0474,0.1500,1.015
1.080885,1.0049,-0.0474,0.1476,1.017
1.084931,1.0040,-0.0490,0.1447,1.016
1.085468,1.0040,-0.0475,0.1427,1.015
1.089197,1.0050,-0.0485,0.1383,1.016
1.095723,1.0050,-0.0494,0.1344,1.015
1.096230,1.0060,-0.0500,0.1290,1.015
1.096358,1.0075,-0.0490,0.1237,1.016
1.099925,1.0080,-0.0505,0.1193,1.016
1.100238,1.0090,-0.0501,0.1164,1.017
1.103193,1.0095,-0.0491,0.1115,1.017
1.106234,1.0124,-0.0481,0.1091,1.019
1.107327,1.0140,-0.0471,0.1062,1.021
1.110605,1.0144,-0.0457,0.1018,1.021
1.112454,1.0159,-0.0433,0.0988,1.022
1.114851,1.0169,-0.0428,0.0983,1.023
1.117733,1.0203,-0.0443,0.0984,1.026
1.119074,1.0222,-0.0423,0.1013,1.028
1.122565,1.0246,-0.0379,0.1022,1.030
1.124509,1.0232,-0.0394,0.1062,1.029
1.128939,1.0231,-0.0374,0.1076,1.029
1.129236,1.0231,-0.0369,0.1096,1.030
1.130849,1.0207,-0.0369,0.1110,1.027
1.134217,1.0148,-0.0364,0.1149,1.022
1.137138,1.0099,-0.0378,0.1163,1.017
1.138011,1.0046,-0.0388,0.1173,1.012
1.140434,1.0012,-0.0408,0.1192,1.009
1.143789,0.9968,-0.0413,0.1226,1.005
1.145040,0.9909,-0.0413,0.1294,1.000
1.147452,0.9850,-0.0368,0.1357,0.995
1.150637,0.9792,-0.0349,0.1395,0.990
1.152659,0.9733,-0.0335,0.1414,0.984
1.155977,0.9704,-0.0344,0.1419,0.981
1.157207,0.9684,-0.0349,0.1463,0.980
1.160355,0.9704,-0.0363,0.1492,0.982
1.162393,0.9708,-0.0382,0.1542,0.984
1.164181,0.9698,-0.0382,0.1552,0.983
1.168110,0.9688,-0.0382,0.1566,0.982
1.168942,0.9688,-0.0397,0.1571,0.982
1.172250,0.9688,-0.0372,0.1596,0.983
1.173844,0.9688,-0.0367,0.1615,0.983
1.177188,0.9684,-0.0353,0.1605,0.982
1.178548,0.9679,-0.0358,0.1605,0.982
1.181469,0.9688,-0.0358,0.1596,0.983
1.185026,0.9703,-0.0343,0.1591,0.984
1.185442,0.9723,-0.0358,0.1537,0.985
1.189202,0.9752,-0.0353,0.1527,0.988
1.196481,0.9767,-0.0334,0.1508,0.989
1.199219,0.9781,-0.0324,0.1464,0.990
1.199373,0.9801,-0.0329,0.1425,0.991
1.199501,0.9811,-0.0325,0.1391,0.991
1.199964,0.9821,-0.0305,0.1337,0.992
1.202592,0.9826,-0.0295,0.1298,0.992
1.205481,0.9841,-0.0286,0.1254,0.992
1.207219,0.9856,-0.0301,0.1191,0.993
1.209453,0.9861,-0.0291,0.1185,0.994
1.213117,0.9851,-0.0286,0.1171,0.992
1.214365,0.9856,-0.0291,0.1176,0.993
1.217834,0.9875,-0.0281,0.1167,0.995
1.219276,0.9875,-0.0267,0.1151,0.995
1.222458,0.9870,-0.0267,0.1190,0.995
1.223866,0.9895,-0.0267,0.1206,0.997
1.227357,0.9905,-0.0267,0.1230,0.998
1.229037,0.9895,-0.0272,0.1240,0.998
1.232295,0.9884,-0.0272,0.1283,0.997
1.233310,0.9860,-0.0276,0.1317,0.995
1.236518,0.9850,-0.0291,0.1356,0.995
1.239189,0.9831,-0.0286,0.1395,0.993
1.240823,0.9806,-0.0281,0.1414,0.991
1.244256,0.9796,-0.0280,0.1463,0.991
1.245255,0.9767,-0.0285,0.1503,0.989
1.247859,0.9752,-0.0295,0.1532,0.988
1.251326,0.9747,-0.0270,0.1557,0.987
1.252889,0.9732,-0.0266,0.1585,0.986
1.255235,0.9737,-0.0280,0.1624,0.988
1.257282,0.9722,-0.0265,0.1639,0.986
1.260557,0.9712,-0.0270,0.1649,0.985
1.262115,0.9712,-0.0255,0.1668,0.986
1.264847,0.9688,-0.0260,0.1678,0.984
1.266914,0.9702,-0.0265,0.1698,0.985
1.269780,0.9712,-0.0275,0.1722,0.987
1.272411,0.9717,-0.0284,0.1717,0.987
1.277520,0.9726,-0.0284,0.1742,0.989
1.278013,0.9726,-0.0279,0.1766,0.989
1.278782,0.9717,-0.0274,0.1776,0.988
1.281069,0.9741,-0.0269,0.1766,0.990
1.284133,0.9736,-0.0264,0.1766,0.990
1.285629,0.9726,-0.0264,0.1776,0.989
1.288914,0.9735,-0.0264,0.1785,0.990
1.290410,0.9721,-0.0269,0.1776,0.989
1.293746,0.9707,-0.0274,0.1771,0.987
1.295346,0.9707,-0.0270,0.1737,0.986
1.298586,0.9712,-0.0294,0.1712,0.987
1.299838,0.9703,-0.0294,0.1693,0.985
1.303081,0.9703,-0.0289,0.1668,0.985
1.305991,0.9742,-0.0299,0.1674,0.989
1.307980,0.9766,-0.0289,0.1649,0.991
1.309544,0.9771,-0.0265,0.1625,0.991
1.312522,0.9800,-0.0260,0.1591,0.993
1.314082,0.9834,-0.0222,0.1542,0.996
1.317801,0.9849,-0.0241,0.1527,0.997
1.319031,0.9873,-0.0231,0.1503,0.999
1.322994,0.9888,-0.0226,0.1503,1.000
