execStepTime	accCounter	accTime	accX	accY	accZ	gyrCounter	gyrTime	gyrX	gyrY	gyrZ	speed	cadence	assistMode	accDuX	accDuZ	pressure	smartphoneAtmPressure	hubConnection	mountingAngle	manualCrashFire	crashFire	crashClass	rollDeg	pitchDeg	tipOverFeature	groundHitFeature	collisionFeature	rideFeature	standFeature	riderlessRollOverFeature	smartphoneDropOutFeature	userCrashFeedBack	gpsLat	gpsLong	gpsAccuracy	gpsTimeStamp	inVehicle	onBicycle	onFoot	still	unknown	tilting	walking	running
1667935422	15736	667935.7492	-884	-16	502	15739	667935.7467	-4287	-1399	8259	0	0	0	0	0	98236	98236	0	0	0	0	0	9.181717	-1.1203868	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15737	667935.7587	-862	-4	455	15740	667935.7562	-6536	-6273	9178	0	0	0	0	0	98236	98236	0	0	0	0	0	9.110986	-1.1615989	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15738	667935.7682	-860	-5	457	15741	667935.7657	-12118	-8312	8583	0	0	0	0	0	98237	98237	0	0	0	0	0	9.013744	-1.1829945	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15739	667935.7778	-876	-29	530	15742	667935.7753	-14690	-4987	7769	0	0	0	0	0	98237	98237	0	0	0	0	0	8.942493	-1.1756293	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15740	667935.7873	-886	-44	561	15743	667935.7848	-12730	-734	7831	0	0	0	0	0	98237	98237	0	0	0	0	0	8.914502	-1.1628118	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15741	667935.7968	-910	-41	523	15744	667935.7943	-9904	1434	7209	0	0	0	0	0	98237	98237	0	0	0	0	0	8.908386	-1.151008	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15742	667935.8063	-897	-36	462	15745	667935.8038	-9904	1574	7139	0	0	0	0	0	98237	98237	0	0	0	0	0	8.902772	-1.140201	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15743	667935.8159	-887	-37	444	15746	667935.8134	-12450	174	6781	0	0	0	0	0	98237	98237	0	0	0	0	0	8.879199	-1.1229552	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15744	667935.8254	-913	-34	490	15747	667935.8229	-13229	-524	6002	0	0	0	0	0	98237	98237	0	0	0	0	0	8.846242	-1.1005481	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15745	667935.8349	-894	-36	513	15748	667935.8324	-10884	-1566	6938	0	0	0	0	0	98237	98237	0	0	0	0	0	8.812247	-1.1008998	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15746	667935.8445	-868	-43	484	15749	667935.842	-8880	-3989	7883	0	0	0	0	0	98232	98232	0	0	0	0	0	8.76428	-1.1272074	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15747	667935.854	-850	-33	463	15750	667935.8515	-8600	-4401	7953	0	0	0	0	0	98232	98232	0	0	0	0	0	8.7146635	-1.1567761	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15748	667935.8635	-812	-28	433	15751	667935.861	-9738	-3368	8434	0	0	0	0	0	98232	98232	0	0	0	0	0	8.6754675	-1.1810913	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15749	667935.8731	-818	-9	422	15752	667935.8706	-12153	-2397	7428	0	0	0	0	0	98232	98232	0	0	0	0	0	8.6387005	-1.1834097	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15750	667935.8826	-844	-13	431	15753	667935.8801	-13938	-1084	6352	0	0	0	0	0	98237	98237	0	0	0	0	0	8.60843	-1.165124	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15751	667935.8921	-840	-21	455	15754	667935.8896	-14227	306	6833	0	0	0	0	0	98237	98237	0	0	0	0	0	8.593345	-1.1451097	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935422	15752	667935.9016	-899	-22	519	15755	667935.8991	-12389	1006	6702	0	0	0	0	0	98237	98237	0	0	0	0	0	8.588188	-1.1304463	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15753	667935.9112	-953	-21	587	15756	667935.9087	-7428	1653	7227	0	0	0	0	0	98237	98237	0	0	0	0	0	8.599321	-1.1399227	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15754	667935.9207	-913	-19	553	15757	667935.9182	-3517	-769	8959	0	0	0	0	0	98240	98240	0	0	0	0	0	8.60096	-1.1900556	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15755	667935.9302	-889	6	462	15758	667935.9277	-5328	-5153	7918	0	0	0	0	0	98240	98240	0	0	0	0	0	8.556404	-1.2412764	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15756	667935.9398	-852	21	412	15759	667935.9373	-10648	-5801	7034	0	0	0	0	0	98240	98240	0	0	0	0	0	8.495194	-1.2652572	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15757	667935.9493	-786	5	398	15760	667935.9468	-15198	-3946	7271	0	0	0	0	0	98240	98240	0	0	0	0	0	8.445627	-1.2649071	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15758	667935.9588	-780	-18	440	15761	667935.9563	-16633	-1023	5486	0	0	0	0	0	98241	98241	0	0	0	0	0	8.415197	-1.2339566	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15759	667935.9684	-796	-42	494	15762	667935.9659	-13737	1697	5214	0	0	0	0	0	98241	98241	0	0	0	0	0	8.414148	-1.2044106	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15760	667935.9779	-834	-45	525	15763	667935.9754	-8495	3456	5739	0	0	0	0	0	98241	98241	0	0	0	0	0	8.439573	-1.1963552	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15761	667935.9874	-938	-17	551	15764	667935.9849	-4532	3683	5214	0	0	0	0	0	98241	98241	0	0	0	0	0	8.471035	-1.2014428	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15762	667935.9969	-996	-9	548	15765	667935.9944	-3736	1181	6632	0	0	0	0	0	98241	98241	0	0	0	0	0	8.485483	-1.231538	0	0	0	0	1	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15763	667936.0065	-1002	-26	524	15766	667936.004	-6833	-3009	7332	0	0	0	0	0	98238	98238	0	0	0	0	0	8.459142	-1.2701459	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15764	667936.016	-1019	-33	521	15767	667936.0135	-10298	-5109	6824	0	0	0	0	0	98238	98238	0	0	0	0	0	8.40676	-1.2977084	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15765	667936.0255	-975	-43	535	15768	667936.023	-10937	-3858	7446	0	0	0	0	0	98238	98238	0	0	0	0	0	8.367741	-1.3224083	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15766	667936.0351	-985	-43	554	15769	667936.0326	-8977	-507	5897	0	0	0	0	0	98238	98238	0	0	0	0	0	8.357465	-1.3302166	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15767	667936.0446	-966	-58	517	15770	667936.0421	-6571	1793	4576	0	0	0	0	0	98242	98242	0	0	0	0	0	8.367521	-1.3292345	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15768	667936.0541	-907	-57	414	15771	667936.0516	-6711	1723	4016	0	0	0	0	0	98242	98242	0	0	0	0	0	8.374674	-1.3236276	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15769	667936.0637	-865	-41	354	15772	667936.0612	-9685	673	3359	0	0	0	0	0	98242	98242	0	0	0	0	0	8.365207	-1.3040313	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15770	667936.0732	-827	-33	386	15773	667936.0707	-11322	1566	4672	0	0	0	0	0	98242	98242	0	0	0	0	0	8.366239	-1.2844188	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
