Time;accCounter;accTime;Acc_X;Acc_Y;Acc_Z;gyrCounter;gyrTime;gyrX;gyrY;gyrZ;Speed;cadence;assistMode;accDuX;accDuZ;pressure;smartphoneAtmPressure;hubConnection;mountingAngle;manualCrashFire;crashFire;crashClass;rollDeg;pitchDeg;tipOverFeature;groundHitFeature;collisionFeature;rideFeature;standFeature;riderlessRollOverFeature;smartphoneDropOutFeature;userCrashFeedBack;gpsLat;gpsLong;gpsAccuracy;gpsTimeStamp;inVehicle;onBicycle;onFoot;still;unknown;tilting;walking;running;Label_DrWalk;Label_Stand_Sit;;;
1666190976;56841;1575.881836;-481;-7;796;56730;1575.890503;-44835;-1680;-61739;21.09444;0;0;0;0;98348;98348;0;0;0;0;0;12.655354;2.195968;0;0;0;2;0;0;0;-1;0;0;8.2;1666190976;93;1;3;0;2;0;3;0;2;1;;;
1666190976;59099;1598.605713;-211;-724;46;58988;1598.614502;42769;9765;33915;15.788014;0;0;0;0;98342;98342;0;0;0;0;0;-46.196625;15.388034;1;0;0;2;0;0;0;-1;0;0;7.142;1666190976;10;10;10;10;40;0;10;10;2;1;;;
1666190976;59106;1598.675781;-308;-962;274;58995;1598.684448;64295;43575;45884;15.788014;0;0;0;0;98342;98342;0;0;0;0;0;-42.245605;15.550849;1;0;0;2;0;0;0;-1;0;0;7.142;1666190976;10;10;10;10;40;0;10;10;2;0;;;
1666190976;59108;1598.695801;-395;-1039;325;58997;1598.704468;75390;35140;54460;15.788014;0;0;0;0;98342;98342;0;0;0;0;0;-40.617622;15.579948;1;0;0;2;0;0;0;-1;0;0;7.142;1666190976;10;10;10;10;40;0;10;10;2;0;;Undefined;Undefined
1666190976;61682;1624.579712;-378;-889;357;61571;1624.588379;45780;-132405;10220;9.776459;0;0;0;0;98313;98313;0;0;0;0;0;-29.256643;1.08622;0;0;0;2;0;0;0;-1;0;0;7.571;1666190976;96;3;0;0;1;0;0;0;0;0;;No Motion;Standing 
1666190976;61684;1624.599609;-494;-901;428;61573;1624.608521;35804;-88374;21944;9.776459;0;0;0;0;98313;98313;0;0;0;0;0;-28.573675;-0.374612;0;0;0;2;0;0;0;-1;0;0;7.571;1666190976;96;3;0;0;1;0;0;0;0;0;;Driving;Sitting
1666190976;62281;1630.601685;79;-941;138;62170;1630.610474;-91174;-86730;-50119;0.112645;0;0;0;0;98344;98344;0;0;0;1;20;-60.85257;4.500513;1;0;0;0;0;0;0;-1;0;0;6.333;1666190976;10;10;10;10;40;0;10;10;1;-1;;Walking;
1666190976;62283;1630.62146;88;-897;-121;62172;1630.630493;-115955;-88095;-29119;0.068392;0;0;0;0;98344;98344;0;0;0;1;20;-62.895679;5.250504;1;0;0;0;0;0;0;-1;0;0;6.333;1666190976;10;10;10;10;40;0;10;10;1;-1;;;
